ercc_id,s_dmso,s_drb_1,s_flavopiridol_2,s_triptolide_3
*,0,0,0,0
ERCC-00002,23028,311606,195912,251518
ERCC-00003,1828,17726,18270,19093
ERCC-00004,15375,19118,22067,23345
ERCC-00009,2692,17193,11190,14698
ERCC-00012,0,0,2,2
ERCC-00013,1,15,14,16
ERCC-00014,0,2,6,9
ERCC-00016,0,3,0,0
ERCC-00017,0,0,0,0
ERCC-00019,77,126,60,63
ERCC-00022,287,3911,2414,3036
ERCC-00024,0,2,4,0
ERCC-00025,87,562,321,465
ERCC-00028,4,5,0,10
ERCC-00031,2,24,0,8
ERCC-00033,4,0,4,1
ERCC-00034,37,153,123,164
ERCC-00035,111,696,439,591
ERCC-00039,8,52,37,52
ERCC-00040,0,7,4,6
ERCC-00041,0,5,5,11
ERCC-00042,853,4035,3154,4223
ERCC-00043,1090,10648,12245,12900
ERCC-00044,46,406,227,332
ERCC-00046,13015,137717,158972,189743
ERCC-00048,0,0,0,0
ERCC-00051,9,106,89,109
ERCC-00053,61,251,329,417
ERCC-00054,3,23,25,29
ERCC-00057,0,0,0,0
ERCC-00058,3,17,17,20
ERCC-00059,30,321,213,298
ERCC-00060,348,1924,1923,1781
ERCC-00061,0,2,1,3
ERCC-00062,186,126,257,208
ERCC-00067,5,15,12,16
ERCC-00069,4,59,22,48
ERCC-00071,57,804,444,587
ERCC-00073,0,18,2,7
ERCC-00074,72851,577803,689527,745306
ERCC-00075,0,0,7,3
ERCC-00076,193,2146,1405,1650
ERCC-00077,2,63,45,43
ERCC-00078,52,693,472,623
ERCC-00079,67,975,604,715
ERCC-00081,0,3,2,1
ERCC-00083,0,0,0,0
ERCC-00084,42,428,265,362
ERCC-00085,14,12,16,25
ERCC-00086,0,2,3,7
ERCC-00092,650,952,688,856
ERCC-00095,256,431,296,394
ERCC-00096,35030,224265,137826,180217
ERCC-00097,0,2,3,1
ERCC-00098,0,5,0,3
ERCC-00099,13,192,74,157
ERCC-00104,0,1,0,7
ERCC-00108,4086,6427,4014,5488
ERCC-00109,0,3,0,6
ERCC-00111,537,5366,3012,4193
ERCC-00112,220,2896,1751,2329
ERCC-00113,7902,73343,45590,60620
ERCC-00116,475,682,407,575
ERCC-00117,0,0,0,0
ERCC-00120,2,14,5,5
ERCC-00123,1,0,0,0
ERCC-00126,3,99,45,63
ERCC-00130,17969,33851,19193,25165
ERCC-00131,243,420,253,284
ERCC-00134,3,1,8,1
ERCC-00136,2630,4781,2947,3961
ERCC-00137,2,5,12,7
ERCC-00138,0,4,3,0
ERCC-00142,0,1,0,0
ERCC-00143,10,121,60,81
ERCC-00144,47,72,55,46
ERCC-00145,506,4922,2743,3623
ERCC-00147,0,0,1,0
ERCC-00148,4,31,26,28
ERCC-00150,18,49,25,35
ERCC-00154,4,13,7,12
ERCC-00156,0,0,0,0
ERCC-00157,12,168,99,152
ERCC-00158,0,2,12,1
ERCC-00160,33,472,323,363
ERCC-00162,69,566,453,527
ERCC-00163,21,326,164,192
ERCC-00164,3,7,6,1
ERCC-00165,152,1926,1225,1436
ERCC-00168,1,24,41,12
ERCC-00170,34,51,47,63
ERCC-00171,4801,31888,20122,25295
